City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,berdigestyakh,62.0989,126.6992,274.42,97,100,2.24,RU,1697153382
275,san antonio,29.4241,-98.4936,303.4,58,20,5.14,US,1697153299
276,semenivka,52.1783,32.5818,286.49,94,100,5.26,UA,1697153383
277,panacan,9.2463,118.4082,300.12,82,12,0.32,PH,1697153383
278,san antonio de pale,-1.4014,5.6325,298.36,84,61,4.9,GQ,1697153385
279,beloyarskiy,63.7119,66.6722,272.59,92,100,1.34,RU,1697153385
280,marsa alam,25.0757,34.8918,300.19,53,0,6.44,EG,1697153386
281,kavaratti,10.5669,72.642,300.85,73,98,0.93,IN,1697153387
282,nouadhibou,20.931,-17.0347,298.14,69,100,4.63,MR,1697153387
283,dabakala,8.3667,-4.4333,296.56,93,42,1.35,CI,1697153388
284,ebon,4.582,168.6964,301.88,72,68,2.54,MH,1697153388
285,isangel,-19.55,169.2667,297.17,78,100,1.59,VU,1697153389
286,broome,42.2506,-75.833,286.36,75,75,4.12,US,1697153390
287,uturoa,-16.7333,-151.4333,299.08,71,7,6.46,PF,1697153390
288,yung shue wan,22.2333,114.1167,298.01,65,96,3.66,HK,1697153391
289,lhokseumawe,5.1801,97.1507,298.77,86,92,2.11,ID,1697153391
290,moncks corner,33.196,-80.0131,291.14,96,100,3.6,US,1697153392
291,bodo,67.28,14.405,275.25,100,36,3.09,NO,1697153393
292,sitka,57.0531,-135.33,287.09,67,100,10.8,US,1697153393
293,fortuna,40.5982,-124.1573,293.11,71,0,4.63,US,1697153394
294,undurkhaan,47.3194,110.6556,276.99,52,0,2.87,MN,1697153395
295,artova,40.1158,36.3001,280.78,60,0,0.75,TR,1697153395
296,pitimbu,-7.4706,-34.8086,299.48,81,9,6.25,BR,1697153396
297,atar,20.5169,-13.0499,304.34,13,81,1.08,MR,1697153396
298,taoudenni,22.6783,-3.9836,302.59,15,0,5.53,ML,1697153397
299,djambala,-2.5447,14.7533,294.85,86,29,1.26,CG,1697153398
300,lansdowne,39.9382,-75.2719,291.72,58,13,1.68,US,1697152917
301,avarua,-21.2078,-159.775,299.18,69,100,2.57,CK,1697153399
302,machico,32.7,-16.7667,300.44,78,20,5.66,PT,1697153399
303,el matama,16.7095,33.3565,306.5,23,0,5.69,SD,1697153118
304,rajin,42.2489,130.3003,287.63,50,63,2.04,KP,1697153400
305,gaiman,-43.2897,-65.4929,282.37,52,7,5.01,AR,1697153401
306,rongelap,11.1635,166.8941,301.14,77,61,3.85,MH,1697153402
307,saipan,15.1355,145.701,300.54,94,100,10.29,MP,1697153403
308,sola,-13.8833,167.55,298.74,80,95,7.42,VU,1697153404
309,roma,43.2128,-75.4557,284.79,74,0,3.09,US,1697153404
310,greenville,35.6127,-77.3663,290.45,95,0,0.0,US,1697153405
311,teknaf,20.8624,92.3058,297.43,92,57,1.7,BD,1697153406
312,mejit,10.2753,170.8646,301.15,77,32,4.19,MH,1697153406
313,mastic beach,40.7668,-72.8521,290.59,86,0,0.45,US,1697153407
314,jinka,5.65,36.65,290.97,85,75,1.11,ET,1697153408
315,nichinan,31.6,131.3667,290.97,74,66,5.69,JP,1697153409
316,woolgoolga,-30.1106,153.2007,297.62,63,21,4.7,AU,1697153410
317,berezovo,63.9381,65.0419,273.13,84,100,0.89,RU,1697153410
318,kattanam,9.1762,76.5649,297.27,93,97,1.36,IN,1697153411
319,takanabe,32.1333,131.5,291.09,64,88,2.75,JP,1697153412
320,polyarnyy,69.1989,33.4478,276.68,80,100,9.07,RU,1697153412
321,kristiansund,63.1115,7.732,279.51,75,100,2.57,NO,1697153413
322,howard springs,-12.497,131.047,303.05,48,9,2.65,AU,1697153414
323,strezhevoy,60.7333,77.5889,276.46,91,77,3.13,RU,1697153414
324,sao jose da coroa grande,-8.8978,-35.1478,298.11,83,26,5.94,BR,1697153415
325,zouerate,22.7187,-12.4521,302.0,15,0,4.25,MR,1697153416
326,la toma,-33.0526,-65.6238,286.83,32,32,2.19,AR,1697153416
327,susuman,62.7833,148.1667,260.92,77,73,0.89,RU,1697153417
328,cova figueira,14.8905,-24.2934,297.92,75,85,1.35,CV,1697153417
329,camana,-16.6228,-72.7111,291.35,84,75,2.93,PE,1697153418
330,rampur hat,24.1667,87.7833,295.64,56,0,1.38,IN,1697153420
331,limon,10.0,-83.0333,302.07,77,78,2.43,CR,1697153420
332,balkanabat,39.5108,54.3671,285.26,36,1,3.94,TM,1697153421
333,potiskum,11.7091,11.0694,301.02,47,71,2.73,NG,1697153422
334,constantia,44.1833,28.65,284.65,79,0,5.43,RO,1697153422
335,lhuentse,27.6679,91.1839,287.35,91,9,1.67,BT,1697153423
